postcode,tundra_quintile
AL1 1AB,5
AL1 1AD,5
AL1 1AE,5
AL1 1AG,4
AL1 1AJ,4
AL1 1AL,5
AL1 1AQ,4
AL1 1AR,5
AL1 1AS,5
AL1 1AT,5
AL1 1AU,5
AL1 1AW,5
AL1 1AX,4
AL1 1AZ,5
AL1 1BA,5
AL1 1BF,4
AL1 1BH,4
AL1 1BT,5
AL1 1BU,5
AL1 1BX,5
AL1 1BY,5
AL1 1BZ,5
AL1 1DA,5
AL1 1DB,5
AL1 1DD,5
AL1 1DE,5
AL1 1DG,5
AL1 1DH,5
AL1 1DQ,5
AL1 1DR,4
AL1 1DS,5
AL1 1DT,5
AL1 1DU,5
AL1 1DW,5
AL1 1DX,5
AL1 1DY,4
AL1 1DZ,5
AL1 1EA,5
AL1 1EB,5
AL1 1EE,5
AL1 1EG,5
AL1 1EQ,5
AL1 1ER,5
AL1 1ET,5
AL1 1EU,5
AL1 1EX,5
AL1 1EY,5
AL1 1EZ,5
AL1 1FH,5
AL1 1FP,5
AL1 1HA,5
AL1 1HB,5
AL1 1HD,5
AL1 1HE,5
AL1 1HF,4
AL1 1HG,5
AL1 1HH,4
AL1 1HJ,4
AL1 1HL,4
AL1 1HN,4
AL1 1HP,4
AL1 1HQ,4
AL1 1HR,4
AL1 1HU,5
AL1 1HW,4
AL1 1HY,5
AL1 1JA,5
AL1 1JB,4
AL1 1JD,4
AL1 1JE,5
AL1 1JF,4
AL1 1JG,4
AL1 1JH,5
AL1 1JJ,5
AL1 1JL,5
AL1 1JN,5
AL1 1JP,5
AL1 1JQ,5
AL1 1JR,5
AL1 1JS,5
AL1 1JT,5
AL1 1JU,5
AL1 1JW,5
AL1 1JZ,4
AL1 1LA,5
AL1 1LB,5
AL1 1LD,5
AL1 1LE,5
AL1 1LG,5
AL1 1LJ,5
AL1 1LN,5
AL1 1LP,5
AL1 1LQ,5
AL1 1LR,5
AL1 1LS,5
AL1 1LT,5
AL1 1LX,5
AL1 1LY,5
AL1 1LZ,5
AL1 1NB,5
AL1 1ND,5
AL1 1NE,5
AL1 1NF,5
AL1 1NG,5
AL1 1NH,5
AL1 1NJ,5
AL1 1NL,5
AL1 1NN,5
AL1 1NP,5
AL1 1NQ,5
AL1 1NR,5
AL1 1NS,5
AL1 1NU,5
AL1 1NW,5
AL1 1NX,5
AL1 1PA,5
AL1 1PB,5
AL1 1PD,5
AL1 1PF,5
AL1 1PG,5
AL1 1PH,5
AL1 1PJ,5
AL1 1PL,5
AL1 1PN,4
AL1 1PP,4
AL1 1PQ,5
AL1 1PR,5
AL1 1PS,5
AL1 1PT,5
AL1 1PU,4
AL1 1PW,4
AL1 1PX,5
AL1 1PY,4
AL1 1PZ,5
AL1 1QA,5
AL1 1QB,5
AL1 1QD,5
AL1 1QE,5
AL1 1QF,4
AL1 1QH,5
AL1 1QJ,5
AL1 1QL,5
AL1 1QN,5
AL1 1QQ,4
AL1 1QU,5
AL1 1QW,4
AL1 1RA,5
AL1 1RB,5
AL1 1RD,5
AL1 1RF,4
AL1 1RG,5
AL1 1RH,5
AL1 1RJ,5
AL1 1RL,4
AL1 1RN,5
AL1 1RP,5
AL1 1RQ,5
AL1 1RR,5
AL1 1RS,5
AL1 1RT,5
AL1 1RU,5
AL1 1RW,5
AL1 1RX,4
AL1 1RY,4
AL1 1RZ,4
AL1 1SA,5
AL1 1SD,4
AL1 1SE,4
AL1 1SF,4
AL1 1SG,4
AL1 1SH,4
AL1 1SJ,4
AL1 1SL,4
AL1 1SN,4
AL1 1SP,4
AL1 1SQ,4
AL1 1SR,4
AL1 1SS,4
AL1 1ST,4
AL1 1SU,4
AL1 1SW,4
AL1 1SX,5
AL1 1SZ,5
AL1 1TA,5
AL1 1TB,5
AL1 1TD,5
AL1 1TE,5
AL1 1TF,5
AL1 1TG,5
AL1 1TH,5
AL1 1TJ,5
AL1 1TL,5
AL1 1TN,5
AL1 1TP,5
AL1 1TQ,5
AL1 1TR,5
AL1 1TS,5
AL1 1TT,4
AL1 1TU,4
AL1 1TW,5
AL1 1TX,4
AL1 1TY,5
AL1 1TZ,4
AL1 1UA,5
AL1 1UB,5
AL1 1UD,5
AL1 1UE,5
AL1 1UF,5
AL1 1UG,5
AL1 1UH,5
AL1 1UJ,5
AL1 1UL,5
AL1 1UN,5
AL1 1UP,5
AL1 1UQ,5
AL1 1UR,5
AL1 1UT,5
AL1 1UU,5
AL1 1UW,5
AL1 1UX,5
AL1 1UZ,5
AL1 1WA,5
AL1 1WB,5
AL1 1WD,5
AL1 1WE,5
AL1 1WF,5
AL1 1WG,5
AL1 1WH,5
AL1 1WJ,5
AL1 1WN,5
AL1 1WQ,5
AL1 1WW,5
AL1 1WX,5
AL1 1WY,5
AL1 1WZ,5
AL1 1XB,5
AL1 1XJ,5
AL1 1XL,5
AL1 1XN,5
AL1 1XQ,5
AL1 1XT,4
AL1 1XU,4
AL1 1XY,5
AL1 1XZ,5
AL1 1YG,5
AL1 1YL,5
AL1 1YX,5
AL1 1YY,5
AL1 1YZ,5
AL1 1ZD,4
AL1 1ZH,4
AL1 1ZJ,5
AL1 1ZL,5
AL1 1ZN,5
AL1 1ZP,4
AL1 1ZQ,4
AL1 1ZR,4
AL1 1ZS,5
AL1 1ZT,5
AL1 1ZU,4
AL1 1ZW,4
AL1 1ZX,5
AL1 1ZZ,5
AL1 2AA,5
AL1 2AD,5
AL1 2AE,5
AL1 2AF,5
AL1 2AH,5
AL1 2AJ,5
AL1 2AL,5
